SheetRow,ProjectID,RouteNotes_after,RouteRef_after
6,P6045,,https://sadid.ir/wp-content/uploads/2019/12/%DA%A9%D8%A7%D8%AA%D8%A7%D9%84%D9%88%DA%AF-%D8%A7%D9%86%DA%AF%D9%84%DB%8C%D8%B3%DB%8C-%D8%AA%D8%B3%D8%AF%DB%8C%D8%AF.pdf
19,P3699,,https://wolfmidstream.com/ngl/
24,P3700,,https://wolfmidstream.com/pipeline/
59,P3172,,https://www.houstonchronicle.com/business/energy/article/Plains-All-American-enters-joint-venture-to-13902218.php
108,P3694,,https://www.google.com/search?q=amberjack+oil+pipeline&source=lnms&tbm=isch&sa=X&ved=2ahUKEwiAgZezpJT2AhV7lIkEHWMiDCUQ_AUoAXoECAEQAw&cshid=1645566451087919&biw=1379&bih=858&dpr=1.1#imgrc=0V5yh8l_qVnC_M
110,P6327,,"https://www.mee.gov.cn/ywdt/gsgg/gongshi/wqgs_1/201905/W020190515614457318060.pdf, https://www.sohu.com/a/281199005_674772, http://www.dongying.gov.cn/attach/0/1712260939185314675.pdf"
111,P6328,,"https://www.mee.gov.cn/ywdt/gsgg/gongshi/wqgs_1/201905/W020190515614457318060.pdf, https://www.sohu.com/a/281199005_674772, http://www.dongying.gov.cn/attach/0/1712260939185314675.pdf"
113,P6329,,"https://www.mee.gov.cn/ywdt/gsgg/gongshi/wqgs_1/201905/W020190515614457318060.pdf, https://www.sohu.com/a/281199005_674772, http://www.dongying.gov.cn/attach/0/1712260939185314675.pdf"
133,P7926,,https://www.etap.com.tn/rapports-annuel
139,P6351,,"https://zjjcmspublic.oss-cn-hangzhou-zwynet-d01-a.internet.cloud.zj.gov.cn/jcms_files/jcms1/web1568/site/attach/0/70d3e8c8f17a4f1e8d95a84fdf2e212c.pdf, https://archive.org/details/zhoushan-ningbo-petrochemical-base-interconnected-pipeline"
162,P6331,,https://www.osw.waw.pl/en/publikacje/analyses/2023-06-23/kazakhstan-set-to-supply-oil-to-germany
229,P3791,,https://drive.google.com/file/d/1ZMuYqv2CzsUQX_Kh22jFdw5x9DfVMTe2/view?usp=sharing
231,P5227,,https://img.pravda.com/images/doc/3/5/350df50-map-utn-uk-1-original.png
251,P5230,,https://img.pravda.com/images/doc/3/5/350df50-map-utn-uk-1-original.png
280,P3789,,https://drive.google.com/file/d/1ZMuYqv2CzsUQX_Kh22jFdw5x9DfVMTe2/view?usp=sharing
293,P0653,,https://energybase.ru/pipeline/kuybyshev-unecha-mozyr
326,P0099,,"https://minnesotapipeline.com/about/mpl-system/, https://www.house.mn.gov/hrd/pubs/petinfra.pdf"
329,P0531,,https://bit.ly/2EfHAcZ
335,P0391,,https://www.pembina.com/operations/pipelines/
352,P3788,,https://zhuanlan.zhihu.com/p/170601875
360,P0678,,https://www.spse.fr/_img/pages/spse-network.gif
372,P6309,,"https://www.sohu.com/a/443599366_120053898, https://archive.org/details/hongrun-qingzhou-extension-2"
373,P6350,,"https://zjjcmspublic.oss-cn-hangzhou-zwynet-d01-a.internet.cloud.zj.gov.cn/jcms_files/jcms1/web1568/site/attach/0/70d3e8c8f17a4f1e8d95a84fdf2e212c.pdf, https://archive.org/details/zhoushan-ningbo-petrochemical-base-interconnected-pipeline"
375,P0673,,https://www.nwowhv.de/c/index.php/en/company/pipeline-information
378,P6439,,"http://www.ecorr.org.cn/dhTJDAOHANG/fhjs/jishuyingyong//2024-12-06/192982.html, https://archive.org/details/co-2_20250218_202502"
406,P3860,,https://www.texasgulflink.com/
410,P3166,,https://www.texasgulflink.com/
412,P3859,,https://www.texasgulflink.com/
443,P0042,,https://www.naturalgasintel.com/louisiana-property-owners-awarded-larger-payout-in-court-fight-against-bayou-bridge/
478,P3804,,https://drive.google.com/drive/folders/15XM8c5jC4grLDaBWDYIiYh0Gxcx6rP6F
496,P6068,,https://www.ioptc.ir/english/Destricts/Southeast-District
499,P5206,,"https://ia904701.us.archive.org/30/items/cezi-mamu-oil-pipeline-eia-report/Cezi-Mamu%20oil%20pipeline%20EIA%20Report.pdf, https://ia801603.us.archive.org/11/items/screenshot-2023-02-08-at-2.28.42-pm/Screenshot%202023-02-08%20at%202.28.42%20PM.png"
506,P7900,,https://www.etap.com.tn/rapports-annuel
538,P0640,,https://theodora.com/pipelines/middle_east_pipelines_map.jpg
539,P0642,,https://theodora.com/pipelines/middle_east_pipelines_map.jpg
565,P6069,,https://www.ioptc.ir/english/Destricts/Southeast-District
568,P5224,,"https://ia904701.us.archive.org/30/items/cezi-mamu-oil-pipeline-eia-report/Cezi-Mamu%20oil%20pipeline%20EIA%20Report.pdf, https://ia801603.us.archive.org/11/items/screenshot-2023-02-08-at-2.28.42-pm/Screenshot%202023-02-08%20at%202.28.42%20PM.png"
575,P7901,,https://www.etap.com.tn/rapports-annuel
723,P5241,,https://www.mee.gov.cn/ywgz/hjyxpj/jsxmhjyxpj/xmslqk/201605/W020160522153874896074.pdf
757,P6349,,https://neftegaz.ru/tech-library/transportirovka-i-khranenie/141969-mnp-skovorodino-mokhe/
760,P0538,,https://pp2.au-pida.org/approved-project/?entry=np7gb
765,P3180,,https://www.enbridge.com/~/media/Enb/Documents/Factsheets/FS_EnergyInfrastructureAssets.pdf?la=en
830,P6270,,https://web.archive.org/web/20240207104205/https://www.zhanjiang.gov.cn/attachment/0/196/196313/1779677.pdf
833,P3790,,https://drive.google.com/file/d/1ZMuYqv2CzsUQX_Kh22jFdw5x9DfVMTe2/view?usp=sharing
875,P3704,,https://bellona.org/assets/fil_Chapter_2._Transporting_oil_and_gas_in_Northwest_Russia.pdf
888,P0675,,https://upload.wikimedia.org/wikipedia/commons/6/6d/Pan-European_Pipeline.PNG
